Title,Publication Year,Publication Venue,Paired Device,Role,Context,HTML
AcousticType: Smartwatch-Enabled Cross-Device Text Entry Method Using Keyboard Acoustics. <a href="https://dl.acm.org/doi/abs/10.1145/3491101.3519691">Click</a>, 2022, CHI, Large Display, Input Device, General Groups & Single-User & Private Space
Significant Otter: Understanding the Role of Biosignals in Communication. <a href="https://dl.acm.org/doi/abs/10.1145/3411764.3445200">Click</a>, 2021, CHI, Smartphone, Input Device & Notification Device, Specified Groups & Multi-User & Private Space
WATouCH: Enabling Direct Input on Non-touchscreen Using Smartwatch’s Photoplethysmogram and IMU Sensor Fusion. <a href="https://dl.acm.org/doi/abs/10.1145/3313831.3376198">Click</a>, 2020, CHI, Large Display, Input Device, General Groups & Multi-User & Public Space
Watch+Strap: Extending Smartwatches with Interactive StrapDisplays. <a href="https://dl.acm.org/doi/abs/10.1145/3313831.3376199">Click</a>, 2020, CHI, Strap, Central Device, General Groups & Single-User & Private Space
Doppio: A Reconfigurable Dual-Face Smartwatch for Tangible Interaction. <a href="https://dl.acm.org/doi/10.1145/2858036.2858256">Click</a>, 2016, CHI, Extra Screen, Central Device, General Groups & Single-User & Private Space
WristOrigami: Exploring Foldable Design for Multi-Display Smartwatch. <a href="https://dl.acm.org/doi/abs/10.1145/3196709.3196713">Click</a>, 2018, DIS, Extra Screen, Central Device, General Groups & Single-User & Private Space
Watchit: simple gestures for interacting with a watchstrap. <a href="https://dl.acm.org/doi/10.1145/2470654.2466192">Click</a>, 2013, CHI, Strap, Central Device, General Groups & Single-User & Private Space
Watch my Painting: The Back of the Hand as a Drawing Space for Smartwatches. <a href="https://dl.acm.org/doi/abs/10.1145/3334480.3383040">Click</a>, 2020, CHI, Stylus, Data Collector & Central Device, General Groups & Single-User & Private Space
WatchPen: Using Cross-Device Interaction Concepts to Augment Pen-Based Interaction. <a href="https://dl.acm.org/doi/abs/10.1145/3338286.3340122">Click</a>, 2019, MobileHCI, Tablet & Stylus, Central Device & Input Device, General Groups & Single-User & Private Space
CoolCraig: A Smart Watch/Phone Application Supporting Co-Regulation of Children with ADHD. <a href="https://dl.acm.org/doi/abs/10.1145/3334480.3382991">Click</a>, 2020, CHI ,Smartphone,Input Device & Notification Device, Specified Groups & Multi-User & Private Space
HomeSound: An Iterative Field Deployment of an In-Home Sound Awareness System for Deaf or Hard of Hearing Users. <a href="https://dl.acm.org/doi/abs/10.1145/3313831.3376758">Click</a>, 2020, CHI,PC,Notification Device, Specified Groups & Single-User & Private Space
Portalware: A Smartphone-Wearable Dual-Display System for Expanding the Free-Hand Interaction Region in Augmented Reality. <a href="https://dl.acm.org/doi/abs/10.1145/3334480.3383079">Click</a>, 2020, CHI,Smartphone,Extended Screen, General Groups & Single-User & Private Space
Pointing at a Distance with Everyday Smart Devices. <a href="https://dl.acm.org/doi/10.1145/3173574.3173747">Click</a>, 2018, CHI,Large Display,Input Device,  General Groups & Multi-User & Public Space
When David Meets Goliath: Combining Smartwatches with a Large Vertical Display for Visual Data Exploration. <a href="https://dl.acm.org/doi/10.1145/3173574.3173593">Click</a>, 2018, CHI,Large Display,Extended Screen & Input Device, General Groups & Multi-User & Public Space
FieldGuide: Smartwatches in a Multi-display Museum Environment. <a href="https://dl.acm.org/doi/abs/10.1145/3170427.3188694">Click</a>, 2018, CHI,Large Display,Extended Screen, General Groups & Multi-User & Public Space
Toward Supporting Communication for People with Aphasia: The In-Bed Scenario. <a href="https://dl.acm.org/doi/abs/10.1145/3528575.3551431">Click</a>, 2022, ISS, Smartphone,Input Device, Specified Groups & Multi-User & Private Space
Note-on-Watch: Live Scribing from Board-works to Class-notes. <a href="https://dl.acm.org/doi/abs/10.1145/3406324.3417166">Click</a>, 2021, MobileHCI,Smartphone,Data Collector & Input Device, Specified Groups & Multi-User & Public Space
WRIST: Watch-Ring Interaction and Sensing Technique for Wrist Gestures and Macro-Micro Pointing. <a href="https://dl.acm.org/doi/abs/10.1145/3338286.3340130">Click</a>, 2019, MobileHCI, Smart Ring & Large Display,Central Device & Input Device & Data Collector,General Groups & Single-User & Private Space
SkinTrack: Using the Body as an Electrical Waveguide for Continuous Finger Tracking on the Skin. <a href="https://dl.acm.org/doi/10.1145/2858036.2858082">Click</a>, 2016, CHI,Smart Ring,Central Device & Data Collector,General Groups & Single-User & Private Space
Portalware: Exploring Free-Hand AR Drawing with a Dual-Display Smartphone-Wearable Paradigm. <a href="https://dl.acm.org/doi/10.1145/3461778.3462098">Click</a>, 2021, DIS,Smartphone,Extended Screen,General Groups & Single-User & Private Space
BreathCoach: A Smart In-home Breathing Training System with Bio-Feedback via VR Game. <a href="https://dl.acm.org/doi/10.1145/3267305.3267582">Click</a>,2018,UbiComp,Smartphone,Data Collector,General Groups & Single-User & Private Space
SynCro: Context-Aware User Interface System for Smartphone-Smartwatch Cross-Device Interaction. <a href="https://dl.acm.org/doi/10.1145/3027063.3053088">Click</a>,2017,CHI,Smartphone,Data Collector & Notification Device,General Groups & Single-User & Private Space
Assisting Food Journaling with Automatic Eating Detection. <a href="https://dl.acm.org/doi/abs/10.1145/2851581.2892426">Click</a>,2016,CHI,Smartphone,Data Collector & Notification Device, General Groups & Single-User & Private Space
Vi-Bros: Tactile Feedback for Indoor Navigation with a Smartphone and a Smartwatch. <a href="https://dl.acm.org/doi/10.1145/2702613.2732811">Click</a>,2015,CHI,Smartphone,Notification Device,General Groups & Single-User & Private Space
Harmonious Haptics: Enhanced Tactile Feedback Using a Mobile and a Wearable Device. <a href="https://dl.acm.org/doi/10.1145/2702613.2725428">Click</a>,2015,CHI,Smartphone,Perceptual Enhancer,General Groups & Single-User & Private Space
Duet: exploring joint interactions on a smart phone and a smart watch. <a href="https://dl.acm.org/doi/abs/10.1145/2556288.2556955">Click</a>,2014,CHI,Smartphone,Data Collector & Notification Device& Input Device&Extended Screen,General Groups & Single-User & Private Space
Typing on a Smartwatch for Smart Glasses. <a href="https://dl.acm.org/doi/10.1145/3132272.3134136">Click</a>,2017,ISS,Smart Glasses,Input Device, General Groups & Single-User & Private Space
Smart Home Control using Motion Matching and Smart Watches. <a href="https://dl.acm.org/doi/10.1145/3132272.3132283">Click</a>,2017,ISS,Smartphone,Input Device & Data Collector,General Groups & Single-User & Private Space
CurationSpace: Cross-Device Content Curation Using Instrumental Interaction. <a href="https://dl.acm.org/doi/10.1145/2992154.2992175">Click</a> ,2016,ISS,Large Display,Extended Screen,General Groups & Multi-User & Public Space
WhichHand: automatic recognition of a smartphone's position in the hand using a smartwatch. <a href="https://dl.acm.org/doi/10.1145/2957265.2961857">Click</a>,2016,MobileHCI,Smartphone,Data Collector,General Groups & Single-User & Private Space
Large scale mood and stress self-assessments on a smartwatch. <a href="https://dl.acm.org/doi/10.1145/2968219.2968305">Click</a> ,2016,UbiComp,Smartphone,Data Collector,General Groups & Single-User & Private Space
Automatic Authentication of Smartphone Touch Interactions using Smartwatch. <a href="https://dl.acm.org/doi/abs/10.1145/2968219.2971370">Click</a> ,2016,UbiComp,Smartphone,Data Collector,General Groups & Single-User & Private Space
A wearable system for mood assessment considering smartphone features and data from mobile ECGs. <a href="https://dl.acm.org/doi/10.1145/2968219.2968302">Click</a> ,2016,UbiComp,Smartphone,Data Collector,General Groups & Single-User & Private Space
TakeOut: drawing application using distributed user interface for being close to real experience. <a href="https://dl.acm.org/doi/10.1145/2968219.2971439">Click</a> ,2016,UbiComp,Smartphone,Extended Screen,General Groups & Single-User & Private Space
DEMONS: an integrated framework for examining associations between physiology and self-reported affect tied to depressive symptoms. <a href="https://dl.acm.org/doi/10.1145/2968219.2968300">Click</a>,2016,UbiComp,Smartphone,Data Collector,General Groups & Single-User & Private Space
Easy Return: An App for Indoor Backtracking Assistance. <a href="https://dl.acm.org/doi/abs/10.1145/3173574.3173591">Click</a>,2018,CHI,Smartphone,Input Device & Audio Output Device ,Specified Groups & Single-User & Private Space
Mo-Bi: Contextual Mobile Interfaces through Bimanual Posture Sensing with Wrist-Worn Devices. <a href="https://dl.acm.org/doi/10.17210/hcik.2016.01.94">Click</a>,2016,CHI,Smartphone,Data Collector,General Groups & Single-User & Private Space
A wearable action support system for business use by context-aware computing based on web schedule. <a href="https://dl.acm.org/doi/10.1145/2800835.2800863">Click</a>,2015,UbiComp,Smartphone,Notification Device,Specified Groups & Single-User & Private Space
PulseCam: Biophysically Driven Life Logging. <a href="https://dl.acm.org/doi/10.1145/2786567.2794320">Click</a>,2015,MobileHCI,Smartphone,Data Collector,General Groups & Single-User & Private Space
WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href="https://dl.acm.org/doi/10.1145/3170427.3188629">Click</a>, 2018, CHI, HMD,Input Device, General Groups & Single-User & Private Space
Mixed-reality shopping system using HMD and smartwatch. <a href="https://dl.acm.org/doi/10.1145/2800835.2800888">Click</a>,2015,UbiComp,HMD,Input Device,Specified Groups & Single-User & Public Space
Real-time physical activity and mental stress management with a wristband and a smartphone. <a href="https://dl.acm.org/doi/10.1145/3123024.3123184">Click</a>,2017,UbiComp,Smartphone,Data Collector,General Groups & Single-User & Private Space
EPARS: elderly physical activity reminder system using smartphone and wearable sensors. <a href="https://dl.acm.org/doi/abs/10.1145/3341162.3350845">Click</a>,2019,UbiComp,Smartphone,Data Collector,Specified Groups & Single-User & Private Space
3D interaction with networked public displays using mobile and wearable devices. <a href="https://dl.acm.org/doi/abs/10.1145/2800835.2807957">Click</a>,2015,UbiComp,Large Display,Input Device, General Groups & Multi-User & Public Space
GestEar: combining audio and motion sensing for gesture recognition on smartwatches. <a href="https://dl.acm.org/doi/10.1145/3341163.3347735">Click</a>,2019,UbiComp,Smartphone,Input Device, General Groups & Single-User & Private Space
mLung++: automated characterization of abnormal lung sounds in pulmonary patients using multimodal mobile sensors. <a href="https://dl.acm.org/doi/10.1145/3341162.3344850">Click</a>,2019,UbiComp,PC,Data Collector,Specified Groups & Single-User & Private Space
Reducing distraction of smartwatch users with deep learning. <a href="https://dl.acm.org/doi/10.1145/2957265.2962662">Click</a>,2016,MobileHCI,Smartphone,Notification Device, General Groups & Single-User & Private Space
Optimizing Smartphone Micro-usage with Smartwatch Notifications. <a href="https://dl.acm.org/doi/10.1145/2786567.2794313">Click</a>,2015,MobileHCI,Smartphone,Notification Device, General Groups & Single-User & Private Space
Assessment of Notifications on Smartwatches. <a href="https://dl.acm.org/doi/abs/10.1145/2786567.2794338">Click</a>,2015,MobileHCI,Smartphone,Notification Device, General Groups & Single-User & Private Space
Integrating Real-Time Health Status into Everyday Objects: A Design Case Study on Enhancing Diabetic Health Monitoring with Artistic Creations. <a href="https://dl.acm.org/doi/10.1145/3565066.3608696">Click</a>,2023,MobileHCI,Smart Socks,Notification Device,General Groups & Single-User & Private Space
Unpacking the Lived Experiences of Smartwatch Mediated Self and Co-Regulation with ADHD Children. <a href="https://dl.acm.org/doi/full/10.1145/3544548.3581316">Click</a>,2023,CHI,Smartphone,Input Device,Specified Groups & Multi-User & Private Space
IMUPoser: Full-Body Pose Estimation using IMUs in Phones' Watches' and Earbuds. <a href="<a href="https://dl.acm.org/doi/10.1145/3544548.3581392">Click</a>,2023,CHI,Smartphone,Data Collector, General Groups & Single-User & Private Space
