Title,Publication Year,Publication Venue,System Number,Configuration,Role,SW Interaction,Application Domain,Relationship,Scale,Dynamics,Space
"evARything, evARywhere, all at once: Exploring Scalable Holistic Autonomous Vehicle-Cyclist Interfaces. <a href=""https://dl.acm.org/doi/full/10.1145/3706598.3713412"">Click</a>",2025,CHI,S1,Pairwise,Notification Device,Viewing/Sensing,Cycle simulation,Single user,Personal,Mobile,\
"Watch-Out: Real-Time Tracking and Assistance for Wandering Alzheimer's Patients Using Wearable Technology. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3720308"">Click</a>",2025,CHI,S2,Distributed,Notification Device & Data Collector,Viewing/Sensing,Alzheimer's patients prevent getting lost,Multiple users,\,Mobile,Remote
"Factually: A Live, Wearable Fact-Checker. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3721346"">Click</a>",2025,CHI,S3,Pairwise,Notification Device,Viewing/Sensing,Preventing fraud,Single user,Personal,Mobile,\
"AdaptAI: A Personalized Solution to Sense Your Stress, Fix Your Mess, and Boost Productivity. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3720284"">Click</a>",2025,CHI,S4,Distributed,Data Collector,Other,Productivity,Single user,Personal,Semi-fixed,\
"From Wrist to Finger: Hand Pose Tracking Using Ring-Watch Wearables. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3720220"">Click</a>",2025,CHI,S5,Pairwise,Data Collector,Interaction,\,Single user,Personal,Mobile,\
"Sensors and Sensibilities: Exploring Interactions for Habitat Comfort with An Environmental-Physiological Sensing Eyewear In the Wild. <a href=""https://www.sciencedirect.com/science/article/pii/S1071581925000679"">Click</a>",2025,IJHCS,S6,Distributed,Extended Screen,Interaction,Environmental quality monitoring,Single user,Personal,Mobile,\
"Hapster: Using Apple Watch Haptics to Enable Live Low-Friction Student Feedback in the Physical Classroom. <a href=""https://dl.acm.org/doi/full/10.1145/3613905.3650733"">Click</a>",2024,CHI,S7,Distributed,Perceptual Enhancer,Viewing/Sensing,Class support,Multiple users,Public,Mobile,Co-located
"Demonstrating TOM: A Development Platform For Wearable Intelligent Assistants. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3677551"">Click</a>",2024,Ubicomp,S8,Distributed,Data Collector,Other,\,Single user,Personal,Mobile,\
"Unified Framework for Procedural Task Assistants powered by Human Activity Recognition. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3678448"">Click</a>",2024,Ubicomp,S9,Distributed,Data Collector,Other,\,Single user,Personal,Semi-fixed,\
"Providemus alz: Ubiquitous Screening of Preclinical Alzheimer's Disease with Consumer-grade Technologies. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3678425"">Click</a>",2024,Ubicomp,S10,Pairwise,Data Collector,Other,Early detection of preclinical Alzheimer,Single user,Personal,Mobile,\
"Toward Detecting Student-Athletes’ Condition Using Passive Mobile and Wearable Sensing. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3677583"">Click</a>",2024,Ubicomp,S11,Distributed,Data Collector,Other,Stress monitoring,Single user,Personal,Mobile,\
"Enable Touch-based Communication between Laptop and Smartwatch<a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3677574"">Click</a>",2024,Ubicomp,S12,Pairwise,Data Collector,Other,\,Single user,Personal,Semi-fixed,\
"AudioBuddy: An Assistive Technology for People with Noise Sensitivity and Their Care Networks. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3678365"">Click</a>",2024,Ubicomp,S13,Pairwise,Data Collector & Extended Screen,Viewing/Sensing,Assistance for people with noise sensitivity,Single user,Personal,Mobile,\
"Silent Impact: Tracking Tennis Shots from the Passive Arm. <a href=""https://dl.acm.org/doi/abs/10.1145/3654777.3676403"">Click</a>",2024,UIST,S14,Pairwise,Data Collector,Other,Tennis data tracking,Single user,Personal,Mobile,\
"MobilePoser: Real-Time Full-Body Pose Estimation and 3D Human Translation from IMUs in Mobile Consumer Devices. <a href=""https://dl.acm.org/doi/abs/10.1145/3654777.3676461"">Click</a>",2024,UIST,S15,Distributed,Data Collector,Other,\,Single user,Personal,Mobile,\
"Demonstrating XDTK: Prototyping Multi-Device Interaction and Arbitration in XR. <a href=""https://dl.acm.org/doi/abs/10.1145/3672539.3686784"">Click</a>",2024,UIST,S16,Pairwise,Data Collector & Input Device & Notification Device,Interaction,Exercising support,Single user,Personal,Mobile,\
"Enhancing Mobile Interaction: Practical Insights from Smartphone and Smartwatch Integration. <a href=""https://dl.acm.org/doi/abs/10.1145/3640471.3680451"">Click</a>",2024,MobileHCI,S17,Pairwise,Input Device & Extended Screen ,Interaction,English learning support,Single user,Personal,Mobile,\
"Enhancing Mobile Interaction: Practical Insights from Smartphone and Smartwatch Integration. <a href=""https://dl.acm.org/doi/abs/10.1145/3640471.3680451"">Click</a>",2024,MobileHCI,S18,Pairwise,Input Device & Notification Device & Extended Screen ,Interaction,Cross-screen browsing,Single user,Personal,Mobile,\
"Enhancing Mobile Interaction: Practical Insights from Smartphone and Smartwatch Integration. <a href=""https://dl.acm.org/doi/abs/10.1145/3640471.3680451"">Click</a>",2024,MobileHCI,S19,Pairwise,Input Device & Extended Screen ,Interaction,Cross-device reading,Single user,Personal,Mobile,\
"RunMe: An adaptive sound system for running meditation. <a href=""https://dl.acm.org/doi/abs/10.1145/3717610"">Click</a>",2024,TOCHI,S20,Distributed,Data Collector,Other,Running meditation,Single user,Personal,Mobile,\
"Wear + Touch: An Exploration of Wearables for Vibrotactile Feedback During Touchscreen Input. <a href=""https://www.tandfonline.com/doi/abs/10.1080/10447318.2024.2372145"">Click</a>",2024,IJHCI,S21,Distributed,Perceptual Enhancer,Viewing/Sensing,\,Single user,Personal,Mobile,\
"Unpacking the Lived Experiences of Smartwatch Mediated Self and Co-Regulation with ADHD Children. <a href=""https://dl.acm.org/doi/full/10.1145/3544548.3581316"">Click</a>",2023,CHI,S22,Pairwise,Input Device,Interaction,ADHD children management,,Personal,Mobile,Remote
"IMUPoser: Full-Body Pose Estimation using IMUs in Phones, Watches, and Earbuds. <a href=""https://dl.acm.org/doi/full/10.1145/3544548.3581392"">Click</a>",2023,CHI,S23,Distributed,Data Collector,Other,\,Multiple users,Personal,Mobile,\
"Enabling Voice-Accompanying Hand-to-Face Gesture Recognition with Cross-Device Sensing. <a href=""https://dl.acm.org/doi/full/10.1145/3544548.3581008"">Click</a>",2023,CHI,S24,Distributed,Data Collector,Other,\,Single user,Personal,Mobile,\
"AudioBuddy: Using Sound Sensors to Support Sound Sensitivity Awareness in Autistic Individuals. <a href=""https://dl.acm.org/doi/abs/10.1145/3544793.3560336"">Click</a>",2023,Ubicomp,S25,Pairwise,Extended Screen,Interaction,Autistic people support,Single user,Personal,Mobile,\
"WMGPT: Towards 24/7 Online Prime Counseling with ChatGPT. <a href=""https://dl.acm.org/doi/abs/10.1145/3594739.3610708"">Click</a>",2023,Ubicomp,S26,Pairwise,Data Collector,Other,Mental health support,Single user,Personal,Mobile,\
"SmartPoser: Arm Pose Estimation with a Smartphone and Smartwatch Using UWB and IMU Data. <a href=""https://dl.acm.org/doi/abs/10.1145/3586183.3606821"">Click</a>",2023,UIST,S27,Pairwise,Data Collector,Other,\,Single user,Personal,Mobile,\
"Integrating Real-Time Health Status into Everyday Objects: A Design Case Study on Enhancing Diabetic Health Monitoring with Artistic Creations. <a href=""https://dl.acm.org/doi/abs/10.1145/3565066.3608696"">Click</a>",2023,MobileHCI,S28,Distributed,Notification Device,Viewing/Sensing,Diabetic monitoring,Single user,Personal,Fixed,\
"AcousticType: Smartwatch-enabled Cross-Device Text Entry Method Using Keyboard Acoustics. <a href=""https://dl.acm.org/doi/abs/10.1145/3491101.3519691"">Click</a>",2022,CHI,S29,Pairwise,Input Device,Other,\,Single user,Personal,Fixed,\
"StressBal: Personalized Just-in-time Stress Intervention with Wearable and Phone Sensing. <a href=""https://dl.acm.org/doi/abs/10.1145/3544793.3560324"">Click</a>",2022,Ubicomp,S30,Pairwise,Data Collector,Other,Stress detection and intervention,Single user,Personal,Mobile,\
"myAQM: Interface Portable Air Quality Sensors with Apple Watch. <a href=""https://dl.acm.org/doi/abs/10.1145/3544793.3560345"">Click</a>",2022,Ubicomp,S31,Distributed,Notification Device,Viewing/Sensing,Air quality monitoring,Single user,Personal,Mobile,\
"Over-The-Shoulder Training Between Redundant Wearable Sensors for Unified Gesture Interactions. <a href=""https://dl.acm.org/doi/abs/10.1145/3526114.3558725"">Click</a>",2022,UIST,S32,Distributed,Data Collector,Other,\,Single user,Personal,Mobile,\
"Toward Supporting Communication for People with Aphasia: The In-Bed Scenario. <a href=""https://dl.acm.org/doi/abs/10.1145/3528575.3551431"">Click</a>",2022,MobileHCI,S33,Pairwise,Input Device,Interaction,Support for people with Aphasia,Multiple users,Personal,Mobile,\
"Significant Otter: Understanding the Role of Biosignals in Communication. <a href=""https://dl.acm.org/doi/abs/10.1145/3411764.3445200"">Click</a>",2021,CHI,S34,Pairwise,Input Device & Notification Device,Interaction,Communication between couples,Multiple users,Personal,Mobile,Remote
"Demonstration of GestuRING, a Web Tool for Ring Gesture Input. <a href=""https://dl.acm.org/doi/abs/10.1145/3474349.3480199"">Click</a>",2021,UIST,S35,Pairwise,Central Device,Viewing/Sensing,\,Single user,Personal,Mobile,\
"Note-on-Watch: Live Scribing from Board-works to Class-notes. <a href=""https://dl.acm.org/doi/abs/10.1145/3406324.3417166"">Click</a>",2021,MobileHCI,S36,Pairwise,Data Collector,Other,Class support,Single user,Public,Mobile,Co-located
"WATouCH: Enabling Direct Input on Non-touchscreen Using Smartwatch’s Photoplethysmogram and IMU Sensor Fusion. <a href=""https://dl.acm.org/doi/abs/10.1145/3313831.3376198"">Click</a>",2020,CHI,S37,Pairwise,Data Collector & Input Device,Interaction,\,Single user,Personal,Semi-fixed,\
"HomeSound: An Iterative Field Deployment of an In-Home Sound Awareness System for Deaf or Hard of Hearing Users. <a href=""https://dl.acm.org/doi/abs/10.1145/3313831.3376758"">Click</a>",2020,CHI,S38,Distributed,Notification Device,Viewing/Sensing,Support for deaf or hard of hearing users,Single user,Personal,Fixed,\
"Watch my Painting: The Back of the Hand as a Drawing Space for Smartwatches. <a href=""https://dl.acm.org/doi/abs/10.1145/3334480.3383040"">Click</a>",2020,CHI,S39,Pairwise,Data Collector & Central Device,Viewing/Sensing,Drawing,Single user,Personal,Mobile,\
"CoolCraig: A Smart Watch/Phone Application Supporting Co-Regulation of Children with ADHD. <a href=""https://dl.acm.org/doi/abs/10.1145/3334480.3382991"">Click</a>",2020,CHI,S40,Pairwise,Input Device & Notification Device,Viewing/Sensing,Support for children with ADHD,Multiple users,Personal,Mobile,Remote
"Dangerous or Desirable: Utilizing Augmented Content for Field Policing. <a href=""https://www.tandfonline.com/doi/full/10.1080/10447318.2020.1752473"">Click</a>",2020,IJHCI,S41,Pairwise,Notification Device,Viewing/Sensing,\,Single user,Personal,Mobile,\
"GestEar: Combining Audio and Motion Sensing for Gesture Recognition on Smartwatches. <a href=""https://dl.acm.org/doi/abs/10.1145/3341163.3347735"">Click</a>",2019,Ubicomp,S42,Distributed,Input Device,Interaction,Systems control; Cross-device unlocking,Single user,Personal,Semi-fixed,\
"EPARS: Elderly Physical Activity Reminder System using Smartphone and Wearable Sensors. <a href=""https://dl.acm.org/doi/abs/10.1145/3341162.3350845"">Click</a>",2019,Ubicomp,S43,Pairwise,Data Collector,Other,Elderly physical activity reminder system,Single user,Personal,Mobile,\
"mLung++: Automated Characterization of Abnormal Lung Sounds in Pulmonary  Patients Using Multimodal Mobile Sensors. <a href=""https://dl.acm.org/doi/abs/10.1145/3341162.3344850"">Click</a>",2019,Ubicomp,S44,Distributed,Data Collector,Other,Detection of abnormal lung sounds,Single user,Personal,Mobile,\
